city,instance_id,node_id,role,osmid,lat,lon,x,y,demand,sampling_seed
macau,0,0,depot,9507613535,22.1980692,113.5429308,113.5429308,22.1980692,0,42
macau,0,1,customer,518463863,22.1857831,113.5493525,113.5493525,22.1857831,7,42
macau,0,2,customer,4200370436,22.212506,113.5503824,113.5503824,22.212506,4,42
macau,0,3,customer,1846185762,22.2092572,113.5557084,113.5557084,22.2092572,8,42
macau,0,4,customer,9136835457,22.1902211,113.5406869,113.5406869,22.1902211,8,42
macau,0,5,customer,6665694509,22.1988534,113.5383428,113.5383428,22.1988534,6,42
macau,0,6,customer,5120079887,22.2016664,113.5457244,113.5457244,22.2016664,4,42
macau,0,7,customer,1791222175,22.1823465,113.5405678,113.5405678,22.1823465,9,42
macau,0,8,customer,1536439966,22.1962334,113.5392227,113.5392227,22.1962334,6,42
macau,0,9,customer,3283791844,22.1821261,113.5402058,113.5402058,22.1821261,9,42
macau,0,10,customer,2803009933,22.1921969,113.5340072,113.5340072,22.1921969,8,42
macau,0,11,customer,2169023906,22.1907348,113.5362677,113.5362677,22.1907348,8,42
macau,0,12,customer,1523899695,22.2139028,113.5543517,113.5543517,22.2139028,8,42
macau,0,13,customer,2392981213,22.187452,113.5312015,113.5312015,22.187452,5,42
macau,0,14,customer,6698774737,22.1817404,113.5412693,113.5412693,22.1817404,6,42
macau,0,15,customer,1684877380,22.2080271,113.5452197,113.5452197,22.2080271,6,42
macau,0,16,customer,4818550663,22.2090198,113.546853,113.546853,22.2090198,6,42
macau,0,17,customer,5425397091,22.1906102,113.5463394,113.5463394,22.1906102,4,42
macau,0,18,customer,2169024077,22.2131823,113.5439201,113.5439201,22.2131823,7,42
macau,0,19,customer,4051774595,22.1856889,113.5492134,113.5492134,22.1856889,4,42
macau,0,20,customer,2840210331,22.1908147,113.5344386,113.5344386,22.1908147,8,42
macau,1,0,depot,9507613535,22.1980692,113.5429308,113.5429308,22.1980692,0,43
macau,1,1,customer,3283791812,22.1808019,113.5401036,113.5401036,22.1808019,7,43
macau,1,2,customer,11372561892,22.204495,113.5578132,113.5578132,22.204495,6,43
macau,1,3,customer,1938088913,22.2061617,113.5451547,113.5451547,22.2061617,6,43
macau,1,4,customer,2397362641,22.1888608,113.5366835,113.5366835,22.1888608,8,43
macau,1,5,customer,3120748120,22.1922413,113.5438418,113.5438418,22.1922413,9,43
macau,1,6,customer,2168719365,22.2113241,113.5348719,113.5348719,22.2113241,9,43
macau,1,7,customer,2392981216,22.1904235,113.5325812,113.5325812,22.1904235,7,43
macau,1,8,customer,6677277184,22.1918624,113.54395,113.54395,22.1918624,8,43
macau,1,9,customer,2628861578,22.2012369,113.5381114,113.5381114,22.2012369,9,43
macau,1,10,customer,1846769281,22.185909,113.5377685,113.5377685,22.185909,9,43
macau,1,11,customer,2054222264,22.2067468,113.5425789,113.5425789,22.2067468,9,43
macau,1,12,customer,5104307033,22.1999837,113.5495558,113.5495558,22.1999837,4,43
macau,1,13,customer,1938088910,22.2044246,113.5472599,113.5472599,22.2044246,4,43
macau,1,14,customer,9060604393,22.2116681,113.5418599,113.5418599,22.2116681,7,43
macau,1,15,customer,3119805221,22.1877226,113.5350063,113.5350063,22.1877226,4,43
macau,1,16,customer,13825077310,22.2125137,113.5345187,113.5345187,22.2125137,9,43
macau,1,17,customer,1936887997,22.2078692,113.5510956,113.5510956,22.2078692,8,43
macau,1,18,customer,6646680691,22.1889652,113.5418736,113.5418736,22.1889652,4,43
macau,1,19,customer,3125420139,22.191537,113.5464017,113.5464017,22.191537,4,43
macau,1,20,customer,2168717382,22.1950397,113.545094,113.545094,22.1950397,4,43
macau,2,0,depot,9507613535,22.1980692,113.5429308,113.5429308,22.1980692,0,44
macau,2,1,customer,1942779508,22.1960011,113.5518915,113.5518915,22.1960011,5,44
macau,2,2,customer,1888485256,22.2120834,113.5535682,113.5535682,22.2120834,9,44
macau,2,3,customer,1791209484,22.1894606,113.5385165,113.5385165,22.1894606,5,44
macau,2,4,customer,6240043513,22.2112481,113.5553911,113.5553911,22.2112481,8,44
macau,2,5,customer,9571012789,22.1917158,113.5367898,113.5367898,22.1917158,9,44
macau,2,6,customer,3122173439,22.2074487,113.5499597,113.5499597,22.2074487,7,44
macau,2,7,customer,2168717527,22.1962071,113.5554182,113.5554182,22.1962071,4,44
macau,2,8,customer,1816987764,22.1880223,113.5531102,113.5531102,22.1880223,8,44
macau,2,9,customer,3355823809,22.208948,113.5528854,113.5528854,22.208948,7,44
macau,2,10,customer,3355823817,22.2091889,113.5531838,113.5531838,22.2091889,9,44
macau,2,11,customer,6698774783,22.1806784,113.5384969,113.5384969,22.1806784,5,44
macau,2,12,customer,9067078743,22.2059688,113.5511816,113.5511816,22.2059688,5,44
macau,2,13,customer,11152925963,22.2025385,113.5451111,113.5451111,22.2025385,5,44
macau,2,14,customer,1816987766,22.1875135,113.551763,113.551763,22.1875135,9,44
macau,2,15,customer,1686097967,22.2141707,113.5432326,113.5432326,22.2141707,9,44
macau,2,16,customer,2168717513,22.1960494,113.5439401,113.5439401,22.1960494,9,44
macau,2,17,customer,3737506743,22.2096198,113.5504231,113.5504231,22.2096198,5,44
macau,2,18,customer,1529337094,22.1894419,113.5453657,113.5453657,22.1894419,8,44
macau,2,19,customer,4818550663,22.2090198,113.546853,113.546853,22.2090198,8,44
macau,2,20,customer,2879195271,22.1968321,113.5373297,113.5373297,22.1968321,5,44
macau,3,0,depot,9507613535,22.1980692,113.5429308,113.5429308,22.1980692,0,45
macau,3,1,customer,8823509802,22.2125618,113.5344648,113.5344648,22.2125618,4,45
macau,3,2,customer,4247967268,22.2138713,113.5486476,113.5486476,22.2138713,6,45
